,0
8828,NIPPLE .75 X 5.75LG TOE SCH160
8829,CVB6 A24 202 DD TG 9PT 300LB SG FLG NWR
8830,VLV BDY CVB6 WCB NWR 300LB SMALL GROOVE
8831,FLANGES .75-300 SM TNG W / GSKTS AND HDW
8832,FLANGE WNK .75-300# SM TNG STL SCH 160
8833,4PC 24 LH 202 6.0 B7 300LB SG EXH NWR SF
8834,CASING 3PC LH WCB 6x10 300LB SG NWR
8835,CASING 2PC LH WCB 6x10 300LB SG NWR
8836,CASING EXH A24 LH 300 RIB NWR 3/4B
8837,Assembly 02H6609
8838,"NOZZLE BLOCK 02H6609,10 CCW .44NOZ"
8839,PPG INTCNG C/W W/VLV FLOW B24/28 TRV PRO
8840,CVB 4.0 A19-28 202 DD TG 6PT SST SLEEVE
8841,LIMIT SWITCH BX R4S-5A SPDT ATEX
8842,"VALVE AUTOSTART FISHER 4"" MODEL 1035-A11"
8843,SOLENOID OPERATOR 90-140 VDC DE-EN N/C
8844,Assembly 02H6610
8845,Assembly 02H6611
8846,NOZZLE BLOCK 02H6611 CW .44NOZ EXT
8847,"UNION ELEC 3/4"" NPT APPLETON # UNY75NR"
8848,"SILENCER VENT 6"" 150#RF MODEL HV10-14"
8849,Assembly 02H6619
8850,NOZZLE BLOCK 02H6619 24 CCW .56 150 NOZ
8851,Assembly 02H6620
8852,NOZZLE BLOCK 02H6620  A24 CW  .44
8853,CVB 4.0 DD 201-202 6PT 585 ACT
8854,4PC A24-28 LH 202 150FF03 4.0 B7 S/FACE
8855,3PC A24-28 LH 202 4X10 WCB 150FF03
8856,Assembly 02H6629
8857,"NOZZLE BLOCK 02H6629, 02H6630 24 CW .75"
8858,DRAIN HDR OIL A24 LH EXH API 3RD GOV END
8859,CVB6 A24-28 202 DD TG 9PT CASCON
8860,"LINKAGE CVB6 DD CASCON TG13,17"
8861,CONNECTING ROD ASSY .31 X 7.00
8862,TUBE CONNECTING ROD 4.50 LG
8863,FORCED FEED API 4th LUBE SYSTEM FT 2878
8864,Assembly 02H6630
8865,Assembly 02H6631
8866,ROTOR W24 CW .75  MECH SEALS 4140 SHFT
8867,NOZZLE BLOCK 02H6631 24 CW .75
8868,Assembly 02H6633
8869,BEARING HOUSING ASSY 19 EXH 3/8-24 1.75S
8870,BEARING HOUSING ASSY 19 INL 3/8-24 1.75S
8871,ROTOR  W19 CCW .44 4140 SFT UT / WHL UT
8872,NOZZLE BLOCK A19 02H6633 CCW  .44
8873,CVB 4.0 A19-28 202 DD TG 4PT MP
8874,4PC A19 RH 202 4X8 150FF03 MP S/F
8875,3PC A19 RH 202 150FF03 MP B7
8876,2PC A19 RH 4X8 WCB MPI
8877,CASING INL 600RF 4 WCB MPI
8878,CASING RH EXH 202 MPI
8879,Assembly 02H6635
8880,BRG HSG A24-28 EXH .50RTD .75VIB 1.5SF
8881,BRG HSG INL KGBY 6B .50RTD .75VIB 1.5SF
8882,RTR  W28 CW .75MILL/BR CMTR KBY 3.0x4.88
8883,SHAFT A24 4140HT KGBY B-D AX-PROBE OMTR
8884,WHEEL ASSY MILLED/BROACHED 3/4 CMTR
8885,NOZZLE BLK 28 DRILL (16) 360 CW 02H6635
8886,KBY BRG 24 CW TURB CCW BRG KEYPH AX VIB
8887,BEARING HOUSING KGBY 24  CW  S'FACE
8888,PIPING LEAK OFF GLAND A24 03 OIL DRAINS
8889,FEED HDR OIL A24 SHFT END API 3 KGBY LPI
8890,PIPING OIL DRAIN A24-A28 API 3 RH KGBY
8891,DUAL RTD KGBY LOADED SIDE GLAND PIPING
8892,NIPPLE 1/2 X 2.00 SC40S
8893,CVB6 A24-28 202  KBY 585 ACT 9PT MP NWR
8894,TURBINE HA24-28 5001 KBY DD/GD LOW/LOW
8895,SIGNAL GEAR 30T AXIAL PLATE
8896,GEAR SIGNAL 30T PLATE TARGET KEYPH
8897,GEAR SIGNL 30T MAG PU A19-28
8898,PLATE TARGET KEYPH A19-28 AX PROBE 30T
8899,4PC A24-28 RH 202 150RF03 6.0 MP NWR S/F
8900,3PC A24-28 RH 202 6x10-150RF  MPI NWR
8901,2PC A24-28 RH 202 6x10-150RF MPI NWR
8902,CASING-INL 28 4-600RF 0.75B MPI NWR
8903,CASING-EXH 24-28 RH 10-150 .75B7 MPI NWR
8904,Assembly 02H6639
8905,NOZZLE BLOCK 02H6639 CW .44NOZ
8906,CVB6 A24-28 202 GD  SPECIAL 3PT LOW FLOW
8907,CUP VALVE CAGE 6 3PORT LOW FLOW
8908,CUP VALVE CAGE 6 3PORT LOW FLOW WELDING
8909,COUPLING 2.498 BORE 2HF & 2HEB Kop-Flex
8910,Assembly 02H6642
8911,ROTOR  WB19 CCW .75  SHP  4140SFT
8912,NOZZLE BLOCK 02H6642 CCW  A/B19 .75NOZ
8913,BRACKET MTG VIB REED TACH TG13
8914,BRKT FRAHM TACH RLH C/TRIP
8915,Assembly 02H6649
8916,ROTOR ASSY WB24 CW .75 NOZ
8917,NOZZLE BLOCK 02H6649 24 CW .75
8918,4PC A24-28 LH 200 4X10 125FF00 S/FACE
8919,Assembly 02H6653
8920,ROTOR ASSY WB24 CW .56 NOZ
8921,NOZZLE BLOCK 02H6653 CW 24 .56 NOZ
8922,CVB6 A24-28 200 6PT NO ACT BRACKET
8923,Assembly 02H6656
8924,NOZZLE BLOCK 02H6656 CCW .44NOZ
8925,PIPING INTCNG FLGD W/C B19 W /SIGHT FLOW
8926,ASCO SOLENOID 110VAC CENELEC N/C DE-EN
8927,Assembly 02H6657
8928,BEARING HOUSING A24 INL 6 BOLT .25 RTD
8929,ROTOR ASSY W 24 CW .56 MILLED HP2
8930,NOZZLE BLOCK 02H6657 CW 24 .56 NOZ
8931,DRAINS-VLVD LEAKOFF-FLG 3PC HP2 WCB
8932,PIPING OIL DRN A24 LH API3 GOV 1.5 TEMP
8933,CVB 4.0 A19-28 202 GD TG 6PT
8934,WDWD GOVERNOR TG17L CCW 1100-2400
8935,TUTHILL OIL PUMP 2RFDB-A-1
8936,HUB CITY GEAR 1:1 W/PMP MTG 1&2 RFD
8937,RTD CONAX DUAL ELEM  XP .50NPT EXTENDED
8938,Assembly 02H6658
8939,NOZZLE BLOCK 02H6658 CCW  A19
8940,CVB3 A19 HP2 202 DD TG 4 PT CASCON PUMP
8941,RTD ASSY CONAX DUAL ELEMENT 1/2 NPT
8942,CIRC LUBE SYSTEM FT-2275-14
8943,Assembly 02H6661
8944,NOZZLE BLK DRILL(15)364 CW SST 02H6661
8945,PIPING OIL DRAIN HA24-28 API 4TH RH EXH
8946,DRAINS FLGD 3PC 3.0-6.0 202 02
8947,CVB6 A24-28 202 GD PG 9PT
8948,LUFKIN GEAR REDUCER NM2107C
8949,Assembly 02H6663
8950,NOZZLE BLOCK 02H6663 CCW .44NOZ CPB
8951,RLHA24 LUBE SYS RH CASCN - FT2871 FLGWTR
8952,VALVE GLOBE 3/4 NPT VOGT 12443
8953,INDICATOR SIGHT FLOW 3/4
8954,TURBINE HP2 A24-28 106-150 CLASS5-6
8955,HARDWARE GLAND HOUSING/MTG 24/28 B7 HP2
8956,CVB4 24-28 202 DD WC6 6PT CL6 CASCON
8957,4PC 24 RH 4.0 300RF03 106/150 CL6 CPB SF
8958,3PC 24-28 HP2 202 WC6 CPB B16 10-300RF
8959,2PC HP2 RH 202 4.0-600 10.0-300 CPB B16
8960,HHCS 1-8UNC-2A X 2.75 B16
8961,HHCS 1-8UNC-2A X 4.50 B16
8962,CSG INLET A24-28 SPCL CPB 202 WC6
8963,CASING EXH 24 RH 300# 202 WC6 HP2
8964,CSG EXH24/8 RH HP2 106-150WC6 SA3193MFAR
8965,SHCS 1-8UNC-2A X 3.00 B16
8966,COVER A24-28 HP2 202 WC6
8967,COV 24/28 HP2 106-150 WC6 SA3198MAR
8968,EJECTOR STEAM MODEL GL-1-1/4
8969,Assembly 02H6664
8970,NOZZLE BLK 28 DRILL (16) 361 CW 02H6664
8971,NOZ BLK RING 28
8972,Assembly 02H6671
8973,ROTOR  ASSY W19 CW .56N0Z  SHP 4140 SHFT
8974,"NOZZLE BLOCK 02H6671,72 CW 19"
8975,CVB 4.0 A19-28 202 DD TG 3PT
8976,Assembly 02H6672
8977,Assembly 02H6673
8978,NOZZLE BLOCK 02H6673 CW 19 .75NOZ
8979,NOZ NO-258 EXP-2.25
8980,Assembly 02H6674
8981,ROTOR WB28 CCW .56NOZ
8982,NOZZLE BLOCK 02H6674 28 CCW .56NOZ
8983,PIPING 24 LEAK-OFF GLAND FLGD
8984,NIPPLE 1 X 23.25 TOE SC80 STL SEAMLESS
8985,NIPPLE 1.00 X 18.50 TOE SC80 STL SEAMLES
8986,CVB6 A24-28 202 DD TG 6PT SST SLEEVE
8987,BODY 6CVB SS 201-202 600RF 03
8988,SOLENOID OPERATOR 110 VDC DE-EN N/C
8989,Assembly 02H6691
8990,NOZZLE BLK 28 DRILL (18) 356 CW 02H6691
8991,NOZZLE BLK B/MACH 28 CW EXT
8992,GLAND SEAL PIPG VAC EXH 24-28 150RF03
8993,PRESSURE GAUGE SM DR 5-15 PSIG
8994,CVB6 A24-28 200 585CR ACT 6PT
8995,4PC A28 LH 200 125FF00 6.0 EXT S/FACE
8996,3PC 28 LH 6X10 200  125FF/00 EXT BLK
8997,2PC 28 LH 6X10  200 EXT BLK
8998,Assembly 02H6694
8999,Assembly 02H6695
9000,ROTOR W24 CW .56 HP2 PHYS/CHEM/CMTR BL
9001,WHEEL CW BROACHED 9/16-CMTR
9002,NOZZLE BLOCK 02H6695 CW 24 .56 NOZ
9003,DRAINS VLVD 3PC 24-28 202 CVB4 300# LPI
9004,LEAK-OFFS FLG 4CVB 1/2-150 RF03
9005,DRAINS 4CVB VLVD .75-600RF 125AARH LPT
9006,CVB 4.00 GD 202 6PT PG NWR MP
9007,4PC 24 RH 4.0 300RF03 106/150 MP NWR S/F
9008,3PC A24-28 RH 202 HP2 300RF03 4.0 MP NWR
9009,CASING ASSY 2PC A24 RH MP NWR 4x10-300HP
9010,CASING INLET 24 HP2 4-600 MPI NWR
9011,LUFKIN GEAR REDUCER NM1202C
9012,Assembly 02H6702
9013,"NOZZLE BLOCK 02H6702 02H6704,05 B19 CW"
9014,Assembly 02H6704
9015,Assembly 02H6705
9016,Assembly 02H6715
9017,NOZZLE BLOCK 02H6715 19 CW .44 CLASS5
9018,RLHA19 LUBE OIL SYS RH  TUTHILL PUMP
9019,DRAINS FLGD 3PC RLHA19 202 03 125 S WC6
9020,CVB3 A19-28 WC6 GD PG 3PT CLASS5
9021,TURBINE 19 DD/GD CLASS 5 & 6
9022,4PC 19 RH 150RF03 WC6INL/WCBEXH W/DRN SF
9023,3PC A19 RH 150RF03 WC6/WCB CL5 W/DRN
9024,2PC A19 RH 150 WC6/WCB CL5 W/DRN
9025,CASING INL A19  WC6  W/DRN
9026,HUB CITY GEAR 3:1 W/PUMP MTG 1&2 RFD
9027,OIL PUMP TUTHILL 1RFDB-A-1 SFT.MOD.A CI
9028,SOLENOID OPERATOR 120VAC/60HZ DE-EN
9029,Assembly 02H6716
9030,ROTOR  WB19 CW .44  SHP  4140SFT
9031,NOZZLE BLOCK 02H6716 19 CW .44
9032,Assembly 02H6717
9033,"NOZZLE BLOCK 02H6717,18,19,20  19 CW .44"
9034,Assembly 02H6718
9035,Assembly 02H6719
9036,Assembly 02H6720
9037,Assembly 02H6721
9038,HSG MTG RLH DD 2PU .75 KYPH SOL PROX NC
9039,ROTOR W24 CW .56 B-D SHFT SST SPRAY
9040,SHAFT ASSY A24-28  4140HT B-D SST SPRAY
9041,NOZZLE BLOCK 02H6721 24 CW .56
9042,CVB6 A24 202 585CR 6PT MP NWR MONEL STR
9043,SCREEN STRAINER 6.00 MONEL 6CVB
9044,4PC A24 LH 202 150FF03 6.0 B7 MP NWR S/F
9045,3PC A24-28 LH 202 150FF03 6.0 B7 MPI NWR
9046,2PC 24 LH 6CVB-10 202 150FF03 MPI NWR
9047,EJECTOR STEAM MODEL # 3BL
9048,PROXIMITY SWITCH EXP PRF DPDT
9049,Assembly 02H6722
9050,Assembly 02H6723
9051,Assembly 02H6724
9052,Assembly 02H6731
9053,NOZZLE BLOCK A19 02H6731 CCW  .44
9054,GAUGEBOARD 2PRESS 2TEMP
9055,CVB3 A19-28 202 DD TG 3 PORT NWR
9056,4PC A19 LH 202 150RF03 NWR S/F
9057,3PC A19 LH 202 150RF03 NO WELD REPAIR
9058,Assembly 02H6741
9059,NOZZLE BLOCK 02H6741 CCW .44NOZ
9060,CVB3 A19-28 202 DD TG 3PT SST SLEEVE
9061,Assembly 02H6746
9062,NOZZLE BLOCK 02H6746 28 CCW .75NOZ
9063,CVB6 A24-28 202 VALTEK 50 ACT 9PT NWR
9064,4PC A24-28 RH 202 150FF03 6.0 B7 NWR S/F
9065,3PC A24 RH 202 150FF03 6.0 NWR
9066,WWD GOVERNOR 505 110V AC-DC W/O Enclosur
9067,Assembly 02T6502
9068,COVER 02T6502 16E CCW 202
9069,Assembly 02T6503
9070,COVER 02T6503 16L 202 CCW
9071,PRESSURE GAUGE 20-45PSI PSI/BAR
9072,Assembly 02T6505
9073,ROTOR 22-23L CCW 4140 WHL & SHF NUOVO
9074,SHAFT 22-23L SOM12032/3 SM20064/3 NUOVO
9075,KEY.25SQ X 2.50 RD BOTH END
9076,COVER 02T6505-06 23L 202 CCW ROT INL
9077,COVER TURB 202 ROTATED INLET
9078,MICROSWITCH NO GOV NO THROTTLE
9079,BRACKET MOUNTING MICROSWITCH
9080,O/S TRIP NO THROTTLE 3.0-600RF
9081,PIPE FLGD INLET 3.0-600RF LH
9082,ELBOW LG RAD BTW 3.00 X 90 STL
9083,FLANGE SOC 3.00-600 RF FST
9084,"PIPE,INLET-4.19LG"
9085,PIPE 3.000 SCH 40 STL
9086,"PIPE,INLET-10.03LG"
9087,LEVER OPERATING ASSY CIR-OIL
9088,LEVER OPERATING 3.0 S/T CIR-OL
9089,LEVER BLANK 3.0 S/T 5.12OFFSET
9090,GUARD OPERATING LEVER S/T 22L
9091,STUD OFFSET S/TRIP GD
9092,VALVE BODY 0/S 3.00-600RF03 WCB
9093,ROTATION 22-23L CCW 202 ROT INL 4PC
9094,SECTOR ASSY 3 CCW ROT INL FORGED
9095,SECTOR ASSY 4 CCW ROT INL FORGED
9096,COUPLING FLG
9097,CASING 23L 202 LH CCW 4PC ROT-INL JCS 03
9098,Assembly 02T6506
9099,Assembly 02T6507
9100,COVER 02T6507 20L CCW 202
9101,DRAIN EXH A20 VLVD .75-150RF03
9102,Assembly 02T6508
9103,COVER 02T6508 12L 200 CCW
9104,Assembly 02T6509
9105,COVER 02T6509 20L 200 CCW
9106,Assembly 02T6512
9107,COVER 02T6512 12M 200 CCW
9108,Assembly 02T6514
9109,Assembly 02T6515
9110,COVER 02T6515 02T6516 16L 202 CCW
9111,Assembly 02T6516
9112,Assembly 02T6517
9113,COVER 02T6517 16L CCW WC6
9114,DRAIN EXHAUST 16L/E CSG .75-300RF03
9115,Assembly 02T6518
9116,COVER 02T6518 16L CCW WC6
9117,Assembly 02T6521
9118,COVER 02T6521 22L 202 CCW
9119,NOZZLE 50 22 23
9120,Assembly 02T6527
9121,COVER 02T6527 16E CW 200
9122,Assembly 02T6529
9123,GLAND HOUSING 22-23LH-EH INNER 6 RING
9124,GLAND HOUSING INNER B6666
9125,GLAND HOUSING 22-23LH-EH OUTER 6 RING
9126,GLAND HOUSING OUTER C9837A
9127,GLAND HOUSING OUTER C9837
9128,ROTOR 23EH CW 4140  WHL 4140HT SHFT 6R
9129,COVER 02T6529 202 23E CW
9130,TURBINE  23EH 106-165 DD HVY SFT
9131,PARTITION PLATE W/STUDS 23EH
9132,PARTITION PLATE 22-23LH-EH
9133,SPLIT THROW RING ASSY 3 IN.
9134,THROW RING SPLIT HVY SHAFT
9135,"SENTINEL WARNING VLV SST 180 PSIG  3/4"""
9136,Assembly 02T6530
9137,ROTOR ASSY 22L CW  6 RING SHAFT 2130RPM
9138,COVER 02T6530 22L CW 202
9139,Assembly 02T6531
9140,COVER 02T6531 CW 23E 200
9141,Assembly 02T6532
9142,COVER 02T6532 16L 200 CW
9143,Assembly 02T6533
9144,COVER 02T6533 16L 202 CCW
9145,Assembly 02T6537
9146,COVER 02T6537 V22L 202 CW
9147,PIPING WTR COOLING INTCON STFL VLV
9148,TURB V22-23L 202 106-150 A&C 540690200
9149,CASING V22-23L 202 CW 3PC 150FF/03
9150,Assembly 02T6538
9151,COVER 02T6538 12L 200 CW
9152,Assembly 02T6541
9153,COVER 02T6541 V16L CW 202
9154,TURBINE V16-20L 202 0-105PSI A&CTHR INPR
9155,"INPRO SEAL RLVA 16L, 16E, 20L COPPER"
9156,ENCLOSURE BRG HOUSING W/INPROSEAL
9157,YOKE W/FLANGE INPRO SEAL
9158,Assembly 02T6543
9159,COVER 02T6543 CCW 16L 202
9160,MTG HOUSING A16-23L DD NO COPPER
9161,Assembly 02T6544
9162,COVER 02T6544 02T6545 12M CCW
9163,Assembly 02T6545
9164,Assembly 02T6546
9165,COVER 02T6546 02T6547 16L 202 CW
9166,Assembly 02T6547
9167,Assembly 02T6549
9168,Assembly 02T6551
9169,Assembly 02T6552
9170,COVER 02T6552 02T6553 12L 202 CCW
9171,Assembly 02T6553
9172,Assembly 02T6555
9173,COVER 02T6555 CW 23E
9174,Assembly 02T6556
9175,COVER 02T6556 CCW 12M
9176,Assembly 02T6571
9177,COVER 02T6571 12L 200 CCW
9178,Assembly 02T6572
9179,COVER 02T6572 16L CCW 200
9180,Assembly 02T6575
9181,COVER 02T6575 16E 200 CCW
9182,Assembly 02T6576
9183,ROTOR ASSY 16L CCW 4140 WHL 4356 RPM
9184,COVER 02T6576 16E CCW 201
9185,ASCO SOLENOID 24 DC EXP EN TO
9186,Assembly 02T6579
9187,COVER 02T6579 20L CW
9188,Assembly 02T6585
9189,THROTTLE A12L 1.25 201-202 MP
9190,THRT VALVE BDY ASSY 12 202 1.25 600RF MP
9191,THRT VLV BODY ASSY 12L 202 1.25 MP
9192,BDY VLV THR 12L WCB MPI SC9666
9193,"COVER 02T6585,86,87 12L 202 CCW MP"
9194,OVERSPEED TRIP 12L 201-202 MP
9195,PRESSURE GAUGE 550-1050PSI PSI/BAR
9196,Assembly 02T6586
9197,Assembly 02T6587
9198,Assembly 02T6588
9199,COVER 02T6588 12L 202 CCW
9200,Assembly 02T6591
9201,COVER 02T6591 02T6592 16E 200 CCW
9202,Assembly 02T6592
9203,Assembly 02T6593
9204,ROTOR ASSY V16L CCW NEMA 404UP 2.0DIA
9205,SHAFT ASSY V16L 404 UP 2.0DIA EXT C1114
9206,SHAFT TURBINE RLVA 404UP 2DIA
9207,ROUND STK 2.500 CDS // ***MUST BE PICKED FROM STOCKROOM***
9208,COVER 02T6593 VA16L CCW 202
9209,TURB V16 202 0-105 A/C 6/7312 GR/SEAL NP
9210,YOKE V16 404-405 7312-9312
9211,Assembly 02T6594
9212,THROTTLE VA20L 1.50 201-202
9213,COVER 02T6594 VA20L 202 CW
9214,Assembly 02T6595
9215,COVER 02T6595 16E CW 202
9216,Assembly 02T6596
9217,ROTOR 22-23L CCW 4140 WHL SSTL SHF L/NUT
9218,SHAFT ASSY 22-23L 416SS TUNG SPRAY L/NUT
9219,SHSS 5/16-24 X .62
9220,SHAFT 22-23L 416SS TUNG SPRAY W/LOCKNUT
9221,NUT SHAFT WHL TF 22
9222,COVER 02T6596 20L CCW  WC6
9223,Assembly 02T6597
9224,COVER 02T6597 CCW 12M 202
9225,Assembly 02T6598
9226,COVER 02T6598 CCW 12M 202
9227,Assembly 02T6599
9228,COVER 02T6599 20L 200 CCW
9229,Assembly 02T6601
9230,Assembly 02T6604
9231,COVER 02T6604 02T6605 16L CW 200
9232,Assembly 02T6605
9233,Assembly 02T6612
9234,COVER 02T6612 20L 200 CCW
9235,Assembly 02T6613
9236,COVER 02T6613 02T6614 16E 202 CW
9237,DRAIN EXH V16L-E .75-150RF03 SOC WLD EXH
9238,O/S TRIP V16E 2.0 202 600RF03 SOC WELD
9239,CASING V16 202 CW/CCW SKT WELD 150RF/03
9240,Assembly 02T6614
9241,Assembly 02T6615
9242,COVER 02T6615 16L CCW 200
9243,PIPING GLAND SEAL 16/20L VAC EXH STD
9244,Assembly 02T6616
9245,COVER 02T6616 200 23E CW
9246,Assembly 02T6617
9247,COVER 02T6617 CCW 12M 202
9248,Assembly 02T6618
9249,COVER 02T6618 22L 200 CCW
9250,Assembly 02T6621
9251,"COVER 02T6621,22,23 16E CW 200"
9252,Assembly 02T6622
9253,Assembly 02T6623
9254,Assembly 02T6624
9255,COVER 02T6624 12M CW MP
9256,Assembly 02T6626
9257,COVER 02T6626 12L CW MP
9258,Assembly 02T6627
9259,COVER 02T6627 12M 200 CCW
9260,Assembly 02T6636
9261,MOUNTING HOUSING O/S TRIP RLVA23E
9262,"ROTOR V23E CW A/C 444,5VP/HP COL"
9263,SHAFT V23E COL A-C 444VP 4140 6412/7412
9264,COVER 02T6636 202 23E CW
9265,YOKE SAFETY SCREEN KIT V22-23L
9266,SCREEN PROTECTOR VA22-23
9267,YOKE W/FLG V22-23 202  COL  SCRN PROTECT
9268,YOKE W/FLANGE V23 202 C THR COL
9269,YOKE V 22 23 4703 X CI A48 CL30
9270,HOUSING WORM DR V22-23 202 COL SCREENS
9271,HOUSING WORM DR SPEC OIL LUBE
9272,HSG WORM DR 4319 X A
9273,WATER COOLING FLGD V23E COL NON API
9274,CVB4 V23E 201/202 COL DD 6PT HVY LKGE
9275,LINKAGE V23E CVB4 DD TG13-17 COL
9276,CONN ROD .31DIA X5.75
9277,LEVER TRIP SHAFT COMBO III
9278,LEVER TRIP CLAPPER COMBO III
9279,CIRCULATING OIL PIPING 22L-23E
9280,CONN M 90 WTHRD 7405 X 6
9281,CONN M SWG BHD .38T X .25P    S.S.
9282,OIL GAUGE 1/4 GITS 4284 ALUM.
9283,STRAINER 1/4 NPT C.I. 4REF No 417K17
9284,ORIFICE .0635DIA
9285,TURB V23E 202 0-105 A&C COL BRG7412/6412
9286,COUPLING NPT .38 150# MI
9287,ELBOW NPT 1/4-90 150# MI
9288,TEE NPT .25 MI (403402604 PV01)
9289,NIPPLE 1/4 CLOSE SC80 SST
9290,HHCS 3/8-16UNC-2A X 2.50 B7
9291,HHCS 5/8-11UNC-2A X 4.50 G8
9292,HHCS 10-24 X .38 (4H1600073)
9293,HHCS 5/16-24 X .88
9294,SHCS 1/4-28 X 1.50 SS
9295,FHMS 1/4-20 X .75 STL ZC
9296,CAP UPPER IMPELLER
9297,ENCLOSURE OIL PUMP TFV 22/23
9298,RETAINER OIL VERT V23M
9299,ROUND STK 4.750 CFS
9300,UPPER IMPELLER V23M
9301,SHIM BEARING HSG .002
9302,SHIM BEARING HSG .003
9303,SHIM BEARING HSG .005
9304,STUD 3/8-16 X 3 1/8 LONG
9305,GASKET TF TFR 16-23
9306,GASKET OIL RETAINER V22/23
9307,WASHER PLATE TFV 22
9308,DAM OIL 22-23
9309,TBG RD 3.375 OD X 3.000 ID STL
9310,SLEEVE SHAFT TFV22AND23
9311,WASHER PLATE TFV22 23
9312,GASKET OIL PUMP ENC V22/23
9313,PLATE CLOSE OFF T22 CONV
9314,GASKET GOV T22 CONV KIT
9315,PLATE CLOSE-OFF T16-23
9316,SHAFT SLEEVE T23M
9317,BEARING HOUSING ENCLOSURE V22/23
9318,ENCL BRG HSG 4701 X
9319,BEARING A THRUST COL RLVA22-23L
9320,BALL BEARING SKF 6412J/C3
9321,SPACER BEARING SET A THR 412
9322,BEARING HOUSING CIRC/OIL
9323,CASING V23E 202 CW 150FF03
9324,BEARING HOUSING HVY TRST V22
9325,ROUND STK 10.00 CI
9326,PUMP OIL SCREW TYPE CW
9327,Assembly 02T6638
9328,COVER 02T6638 200 23E CCW
9329,Assembly 02T6640
9330,COVER 02T6640 12L 202 CCW
9331,Assembly 02T6641
9332,COVER 02T6641 20K CCW 201
9333,WDWD GOVERNOR TG13 CCW 2401-4000 // ORIGINALLY SHIPPED 350361201 REBUILT GOV
9334,Assembly 02T6644
9335,ROTOR V16L CW UT WHL COL SHAFT S/RING
9336,SHAFT V16-20L324-405VP/HP 4140CTH COL UT
9337,SHAFT  V16-20L324-405VP/HP4140CTH COL UT
9338,COVER 02T6644 V16L CW WC6 MP
9339,COVER 16L 202 WC6 1.50 INL MP
9340,GAUGEBOARD 2 PRESS WDWD PEAK 150
9341,WATER COOLING VLVD 03 V16L COL API
9342,O/S TRIP VA16L DD WC6 C.0.L. MP
9343,OPERATING LEVER ASSY S-TRIP RLVA16L
9344,LEVER OPERATING S-TRIP RLVA16L
9345,O/S TRIP VALVE BODY 1.50 600RF03 WC6 MP
9346,MOUNTING HOUSING V16E-23L 2P/U
9347,MOUNTING HOUSING V16-23L 2PU
9348,RTD PIPING LAYOUT RLVA 16L
9349,TEE F RUN SWG .38T X .25P STL
9350,ADAPTER M SWG .38T X .25P STL
9351,THROTTLE VA16L 1.00 WC6 TG13 COL MP
9352,THRT VALVE BODY ASSY 1.0 1.5-600RFWC6MPI
9353,THRT BODY ASSY A/V16L 1.0VLV 202 WC6 MPI
9354,CONN ROD .31DIA-17.50
9355,TURBINE V16E-20L 202 0-105 CW COL 7410
9356,CONN ORIFICE .0635 DIA
9357,ORIFICE NO.52X.31 OD
9358,CONN MALE TVR12
9359,CONN M WTRHD 7205 X 6 BLK
9360,NIPPLE 3/8 X 4 SC80
9361,HHCS 1/4-20UNC-2A X .38 GR5
9362,FHMS NO.10-24 X .62
9363,SHIM BRG HSG .002 THK
9364,SHIM BRG HSG .003 THK
9365,SHIM BRG HSG .005 THK
9366,UPPER IMPELLER
9367,RETAINER OIL VERT V16
9368,WASHER PLATE V16
9369,DAM OIL 16-20
9370,TBG RD 3.000 OD X 2.625 ID STL
9371,SHAFT SLEEVE TFV 16 20
9372,ROUND STK 4.000 BR
9373,SEAL RING 2.50ID X 3.12OD X .345TK
9374,PLATE CLOSE OFF T16 20
9375,GASKET GOV T16 20 CONV
9376,SPACER SHAFT
9377,TBG RD 2.250 OD X 1.750 ID STL
9378,BEARING HOUSING ENCLOSURE TFV16 20
9379,ENCL HSG BRG 4745 X A48 CL30
9380,ENCL OIL PUMP TFV 16 20
9381,ENCL OIL PMP 4744 X CI A48 CL30 C08347
9382,ACTUATOR TG13E CW X P 2401-4000 VERT
9383,THERMOCOUPLES TYPE J W/ TRANSMITTERS
9384,BEARING HOUSING SKF 6309
9385,PLATE ADAPTER YOKE 324-405VP
9386,BLANK ADPT PLATE V20L
9387,WORM DRIVE HOUSING
9388,HSG WORM DR 4166 X A CI A48 CL30
9389,CASING VA16L/E WC6 150FF/03 MPI
9390,CASING V16 202 MPI CASTING ONLY (WC6)
9391,CSG V16L/V16E 150# WC6 MAG PARTICLE
9392,YOKE W/FLANGE V16 202 C THR COL
9393,YOKE V 16 4476 X A48 CL30 CI BO5661
9394,BEARING HOUSING TFV 16 20
9395,HSG BRG 4743 X A48 CL30 CI C08346
9396,Assembly 02T6645
9397,THROTTLE V22L  1.50 VLV WC6  MPI CASCON
9398,THRT BODY ASSY 22L 202 WC6 1.50 600RF MP
9399,BDY VLV THR 22L WC6 MPI
9400,VALVE & STEM ASSY ASSY 1.50 SS
9401,THROTTLE VALVE 1.50 22
9402,VALVE THROTTLE 4435 X A743 CA15 D100861
9403,CONNECTING ROD ASSY 5/16-24 X 20.25
9404,TUBE CONN ROD .50DIA X 17.75
9405,ROTOR V23L CW 444-5VP UT WHL/UT SHF 6R
9406,SHAFT VA23L A-C THR MAG/INP UT 6R 4140HT
9407,COVER 02T6645 V22L WC6 CW MP
9408,COV TURB 23 WC6 MP
9409,COV 22L/23L WC6 MPI
9410,O/S TRIP V22-23L WC6 3.0 600RF03 MP
